height (%),safe,safe unc,shim,shim unc,reg,reg unc
0,1.0032299999999998,0.0002,0.99946,0.00023999999999999998,1.01292,0.00022999999999999998
20,1.00558,0.00024,1.0017200000000002,0.00024,1.01385,0.00021
40,1.01027,0.00026000000000000003,1.00758,0.00023999999999999998,1.01696,0.00022999999999999998
60,1.0164,0.00021,1.01541,0.0002,1.02006,0.00021
80,1.0219200000000002,0.00022999999999999998,1.02125,0.00021,1.02304,0.00021
100,1.02483,0.0002,1.02483,0.0002,1.02483,0.0002
