rod,worth ($),max worth added per % height ($/%),max worth added per height ($/in),reactivity addition rate ($/sec),max motor speed (in/min)
safe,2.801174389911952,0.03883160107909857,0.25955859668660625,0.08219355561742532,36.98586801804581
shim,3.3024933828880783,0.047290129620388824,0.3160971821994411,0.05795115006989753,30.370406762888805
reg,1.529760777870684,0.021368483812672368,0.14283144443207318,0.05713257777282928,67.21209071413895
