temp (C),rho,rho unc,dollars,dollars unc
20,0.0,0.0,0.0,0.0
25,-0.05088646323256144,-0.035989084213893484,-0.06784861764341527,-0.04798544561852465
30,-0.036912466883427,-0.03272483847330579,-0.049216622511236006,-0.04363311796440772
35,-0.05487975169188676,-0.034637220729097196,-0.07317300225584901,-0.046182960972129594
40,-0.071854789338851,-0.03599664165266033,-0.09580638578513467,-0.047995522203547115
45,-0.09882700129841773,-0.03399927296275834,-0.13176933506455699,-0.045332363950344456
50,0.3884142356993696,0.03652666528883935,0.5178856475991594,0.04870222038511913
55,0.4121571205424418,0.035141523883206606,0.5495428273899224,0.046855365177608806
60,0.3735691748817272,0.03515510534549038,0.4980922331756363,0.04687347379398717
65,0.39632979018314585,0.03448107369119031,0.5284397202441945,0.04597476492158708
70,0.3418848984089067,0.03321625129116021,0.45584653121187557,0.04428833505488028
75,0.2824224537799167,0.035869165436958686,0.3765632717065556,0.04782555391594492
80,0.3448561565953261,0.03449885108085999,0.45980820879376816,0.04599846810781332
85,0.28043914852931495,0.0351879052290013,0.3739188647057533,0.04691720697200174
90,0.26060175009214404,0.03387712249590861,0.34746900012285875,0.045169496661211485
95,0.23877148135500698,0.03520259029662437,0.3183619751400093,0.04693678706216583
99,0.25464898930107055,0.03728563716700782,0.3395319857347608,0.04971418288934376
