temp (C),rho,rho unc,dollars,dollars unc
20,0.0,0.0,0.0,0.0
25,-0.010177292646512287,-0.007197816842778697,-0.013569723528683056,-0.00959708912370493
30,-0.0036912466883427,-0.003272483847330579,-0.0049216622511236005,-0.004363311796440772
35,-0.0036586501127924506,-0.00230914804860648,-0.004878200150389934,-0.00307886406480864
40,-0.0035927394669425495,-0.0017998320826330167,-0.0047903192892567335,-0.0023997761101773557
45,-0.003953080051936709,-0.0013599709185103334,-0.00527077340258228,-0.0018132945580137782
50,0.012947141189978988,0.0012175555096279782,0.01726285491997198,0.0016234073461706376
55,0.011775917729784051,0.0010040435395201888,0.01570122363971207,0.0013387247193602516
60,0.00933922937204318,0.0008788776336372594,0.012452305829390907,0.0011718368448496792
65,0.008807328670736574,0.0007662460820264514,0.011743104894315433,0.001021661442701935
70,0.006837697968178133,0.0006643250258232042,0.009116930624237513,0.0008857667010976056
75,0.005134953705089394,0.0006521666443083398,0.0068466049401191935,0.000869555525744453
80,0.005747602609922102,0.0005749808513476665,0.007663470146562804,0.000766641135130222
85,0.004314448438912537,0.0005413523881384816,0.005752597918550051,0.0007218031841846422
90,0.0037228821441734864,0.0004839588927986945,0.004963842858897982,0.0006452785237315926
95,0.0031836197514000927,0.00046936787062165826,0.004244826335200124,0.0006258238274955444
99,0.0032234049278616517,0.000471970090721618,0.004297873237148871,0.0006292934542954906
