temp (C),keff,keff unc
20,1.00137,0.00026000000000000003
25,1.00086,0.00025
30,1.001,0.0002
35,1.00082,0.00022999999999999998
40,1.00065,0.00025
45,1.0003799999999998,0.00022
50,1.00528,0.00026000000000000003
55,1.00552,0.00023999999999999998
60,1.00513,0.00024
65,1.00536,0.00022999999999999998
70,1.00481,0.00021
75,1.00421,0.00025
80,1.00484,0.00023
85,1.00419,0.00023999999999999998
90,1.00399,0.00022
95,1.00377,0.00023999999999999998
99,1.00393,0.00027
