height (%),safe,safe unc,shim,shim unc,reg,reg unc
0,1.99152683046056,0.06896455948553824,2.5142115184136724,0.06861764532137542,1.1809499090698838,0.06910819367118584
10,2.016387664572851,0.0668627115633816,2.1927576000861406,0.07351960770631633,1.1995370517721538,0.06561912666097179
20,1.992521025853548,0.06754600283513519,2.2626806721207418,0.07133812945793754,1.1398873178650206,0.0683661792611355
30,1.7940757036795565,0.07173249245779721,2.03529019139476,0.0749137811436376,0.9623427409306109,0.06683771534289239
40,1.36517275916198,0.06504934893453218,1.7188734372667307,0.07167731374840806,0.8903365159371941,0.06748691785571244
50,1.0568887016441175,0.06220441387800693,1.3632093298641481,0.07215484683836365,0.5772655558025794,0.06939752199170682
60,0.7747628337975597,0.06398785792636072,0.9584478240721274,0.06683505142080626,0.5878947138942023,0.0672783690043699
70,0.46146023779220474,0.07003528369452552,0.7078735233142793,0.06806460589178619,0.27673823279005294,0.06847167532299903
80,0.3815210685336041,0.06713643213673869,0.34015796845601265,0.06851612854449142,0.2556165469273699,0.06916946815026456
90,0.18176229546086203,0.07425564480066674,0.2258696210106965,0.06986663683764252,0.10993330316289199,0.06489151995718687
100,0.0,0.0,0.0,0.0,0.0,0.0
