Config,keff,keff unc,rho,rho unc,dollars,dollars unc
allrodsin,0.97202,0.00054,-2.878541593794367,-0.0022615493337292355,-3.838055458392489,-0.0030153991116389804
safeout,0.9964200000000001,0.00057,-0.3592862447562301,-0.00029066183302399104,-0.4790483263416401,-0.0003875491106986546
shimout,0.99983,0.00047,-0.017002890491383885,-1.1303409195819315e-05,-0.022670520655178508,-1.5071212261092422e-05
regout,0.9890200000000001,0.0005200000000000001,-1.1101898849366028,-0.000825487561308285,-1.4802531799154703,-0.00110065008174438
allrodsout,1.03493,0.00049,3.3751074951929025,0.002259892136804185,4.500143326923871,0.0030131895157389133
