void (at%),rho,rho unc,dollars,dollars unc
0,0.0,0.0,0.0,0.0
2,-0.03892369476687522,-0.030879699826211342,-0.051898259689166955,-0.04117293310161513
4,-0.11876702590875549,-0.028959699265473093,-0.15835603454500732,-0.038612932353964124
6,-0.2073177447440551,-0.03301220150305443,-0.27642365965874016,-0.04401626867073924
8,-0.26548677058098286,-0.0323253469316687,-0.35398236077464384,-0.04310046257555827
10,-0.3285018761519081,-0.03097162940638401,-0.4380025015358775,-0.04129550587517868
12,-0.49022998502352294,-0.0303561678512546,-0.6536399800313639,-0.04047489046833947
14,-0.5218725058984147,-0.02971454974033014,-0.695830007864553,-0.03961939965377352
16,-0.6803924066077198,-0.032463317136787774,-0.9071898754769598,-0.04328442284905037
18,-0.7506893094131865,-0.03248675126297129,-1.000919079217582,-0.043315668350628396
20,-0.8886865998991179,-0.029826645740585418,-1.1849154665321573,-0.039768860987447224
