void (at%),rho,rho unc,dollars,dollars unc
0,0.0,0.0,0.0,0.0
2,-0.01946184738343761,-0.015439849913105671,-0.02594912984458348,-0.020586466550807564
4,-0.029691756477188868,-0.007239924816368273,-0.03958900863625183,-0.009653233088491031
6,-0.03455295745734251,-0.005502033583842405,-0.04607060994312336,-0.00733604477845654
8,-0.033185846322622864,-0.004040668366458587,-0.04424779509683048,-0.005387557821944783
10,-0.03285018761519081,-0.0030971629406384015,-0.04380025015358775,-0.004129550587517869
12,-0.04085249875196024,-0.002529680654271217,-0.05446999833594699,-0.003372907539028289
14,-0.03727660756417248,-0.0021224678385950097,-0.04970214341889665,-0.00282995711812668
16,-0.04252452541298249,-0.002028957321049236,-0.05669936721730999,-0.002705276428065648
18,-0.04170496163406592,-0.0018048195146095158,-0.055606615512087884,-0.0024064260194793558
20,-0.0444343299949559,-0.001491332287029271,-0.05924577332660787,-0.0019884430493723607
