void (at%),rho,rho unc,dollars,dollars unc
0,0.0,0.0,0.0,0.0
2,-0.0659657005600805,-0.03263269488922657,-0.08795426741344067,-0.04351025985230209
4,-0.11399547717243735,-0.031143607605793898,-0.15199396956324981,-0.041524810141058535
6,-0.24631555567120245,-0.0297366705336681,-0.3284207408949366,-0.0396488940448908
8,-0.32768538058151647,-0.0312102687293634,-0.43691384077535533,-0.0416136916391512
10,-0.42026589298262607,-0.03430890690994442,-0.5603545239768348,-0.045745209213259225
12,-0.6029079406960001,-0.030561768184902752,-0.8038772542613335,-0.04074902424653701
14,-0.6787832898946946,-0.031320103753556594,-0.9050443865262595,-0.04176013833807546
16,-0.8186935622981393,-0.03287940166874992,-1.091591416397519,-0.043839202224999894
18,-0.9284602578335658,-0.0313984449650641,-1.2379470104447545,-0.041864593286752134
20,-1.186537643149531,-0.03223325740121944,-1.5820501908660412,-0.04297767653495926
