x,keff,keff unc
294.0,1.02993,0.00053
600.0,0.99399,0.00047
900.0,0.96812,0.00054
1200.0,0.93004,0.00049
2500.0,0.92194,0.00052
0.1,1.04105,0.00054
250.0,1.03022,0.00054
77.0,1.03509,0.00047
3000.0,0.91786,0.00051
