x,D x,D rho,rho unc,D dollars,dollars unc,coef rho,coef rho avg,coef rho unc,coef dollars,coef dollars avg,coef dollars unc
294.0,293.9,-1.0371115961171589,-0.0705721723928815,-1.3828154614895452,-0.0940962298571754,-0.003528790731939976,-0.0036904670892682315,-0.000705721723928815,-0.004705054309253301,-0.004920622785690975,-0.0009409622985717541
600.0,599.9,-4.547768184961735,-0.0692556332323652,-6.063690913282314,-0.0923408443098204,-0.007580877121123079,-0.004468549095639198,-0.000692556332323652,-0.01010783616149744,-0.005958065460852266,-0.000923408443098204
900.0,899.9,-7.236114544591629,-0.0759720634891623,-9.648152726122172,-0.1012960846522164,-0.00804102071851498,-0.005063961032785163,-0.000759720634891623,-0.010721360958019972,-0.006751948043713551,-0.001012960846522164
1200.0,1199.9,-11.465391442747832,-0.0757868686680861,-15.287188590330446,-0.1010491582241148,-0.00955528914305178,-0.005705579334251825,-0.0007578686866808609,-0.012740385524069043,-0.007607439112335767,-0.001010491582241148
2500.0,2499.9,-12.410062769047258,-0.0786844752171243,-16.54675035872968,-0.1049126336228324,-0.004964223676565966,-0.00561290987704109,-0.0007868447521712429,-0.006618964902087954,-0.0074838798360547885,-0.001049126336228324
0.1,0,-0.0,0.0,-0.0,0.0,0,0,0,0,0,0
250.0,249.9,-1.0097802946421712,-0.0712083527584993,-1.346373726189562,-0.0949444703446658,-0.004040737473558108,-0.0037443592083776464,-0.0007120835275849929,-0.005387649964744146,-0.00499247894450353,-0.0009494447034466579
77.0,76.9,-0.5530909576561052,-0.0664361391267854,-0.7374546102081403,-0.0885815188357138,-0.007192340151574839,-0.003596170075787419,-0.0006643613912678541,-0.009589786868766452,-0.004794893434383227,-0.000885815188357138
3000.0,2999.9,-12.892211536842735,-0.0783479353891292,-17.189615382456985,-0.1044639138521723,-0.004297547097184151,-0.005466758457056987,-0.0007834793538912919,-0.005730062796245537,-0.007289011276075981,-0.001044639138521723
