x,keff,keff unc
278.15,1.02817,0.00051
283.15,1.02761,0.00049
288.15,1.02826,0.00053
293.15,1.02719,0.00056
298.15,1.02778,0.00048
303.15,1.02683,0.0005
308.15,1.02865,0.00041
313.15,1.02842,0.00051
318.15,1.02741,0.00051
323.15,1.0278,0.00051
328.15,1.02796,0.00043
333.15,1.02743,0.00053
338.15,1.02781,0.00049
343.15,1.02784,0.0005
348.15,1.02771,0.0005
353.15,1.02725,0.00053
358.15,1.02811,0.00051
363.15,1.02736,0.00052
368.15,1.02694,0.00055
