x,rho,rho unc,dollars,dollars unc
278.15,-0.0,0,-0.0,0.0
283.15,-0.05300230748753174,-0.06693891341925004,-0.070669743316709,-0.08925188455900006
288.15,0.008512843311847174,0.06957140348192745,0.011350457749129565,0.0927618713092366
293.15,-0.09279196360481078,-0.07171779224642853,-0.1237226181397477,-0.09562372299523805
298.15,-0.036906215801711544,-0.06627571885114251,-0.04920828773561539,-0.08836762513485669
303.15,-0.12692329027261445,-0.0676494943266083,-0.1692310536968193,-0.09019932576881107
308.15,0.045384617450564387,0.061871524991611464,0.060512823267419184,0.08249536665548196
313.15,0.023643108046675538,0.068210266290628,0.031524144062234055,0.09094702172083734
318.15,-0.07194570555003856,-0.0682773373469981,-0.09592760740005142,-0.09103644979599748
323.15,-0.035012908019538845,-0.06825141518704819,-0.046683877359385124,-0.09100188691606427
328.15,-0.0198690979697474,-0.06311591330945872,-0.02649213062632987,-0.08415455107927829
333.15,-0.07005103386604018,-0.06962762388923552,-0.09340137848805358,-0.09283683185231402
338.15,-0.034066281759645746,-0.06692588204867304,-0.045421709012861,-0.08923450939823073
343.15,-0.03122651349832961,-0.06758296502210628,-0.04163535133110615,-0.09011062002947505
348.15,-0.0435333733507721,-0.06759151720277662,-0.05804449780102947,-0.0901220229370355
353.15,-0.08710573497460755,-0.06963983425200679,-0.11614097996614342,-0.09285311233600906
358.15,-0.005676056883563026,-0.06823083143329858,-0.007568075844750702,-0.09097444191106478
363.15,-0.07668270749749315,-0.06895333062607964,-0.10224360999665753,-0.0919377741681062
368.15,-0.1164917349334797,-0.07103791022357028,-0.1553223132446396,-0.09471721363142704
