height,bank,bank unc
0,5.717940557171968,0.07745758879125028
1,5.696721517226637,0.07524323037532123
2,5.615109762139066,0.07234377623235862
3,5.600285155227429,0.07303144832723378
4,5.579114552842256,0.07884028166780514
5,5.6278199684024965,0.0716615615089354
6,5.530455212408817,0.07228096188585212
7,5.529397911874867,0.08031457384454947
8,5.568532518180239,0.07442539348574895
9,5.5886402457497715,0.07960301568476406
10,5.419557247936477,0.07150859236790302
11,5.600285155227429,0.07164131947954948
12,5.406898424179599,0.07647419898613214
13,5.331010957640906,0.07568485057179224
14,5.405843663041238,0.07288586380917189
15,5.296266669410435,0.07493456654539676
16,5.2657532252259625,0.07563416065939184
17,5.214237250204523,0.07204678199616213
18,5.152276442291577,0.07200098035341926
19,5.249977530455358,0.07857425663857176
20,5.051618791092231,0.07403152897406029
21,5.074668695099896,0.07334040271098817
22,5.083053052712231,0.07695429954088819
23,4.8623742151897495,0.07110085681959666
24,4.761243592341713,0.07524337643693516
25,4.815433035480483,0.07385223105046053
26,4.821689366828485,0.0731501792564417
27,4.653037071021115,0.07094823838240967
28,4.561656765037176,0.07366004388336543
29,4.68214701747563,0.0696219159572673
30,4.580334861868696,0.0758278694475331
31,4.498409672533972,0.07432320983116948
32,4.25857910522135,0.06610571493065327
33,4.251360400254112,0.07413488443098236
34,4.176140730611378,0.06992769684213557
35,4.060951605649576,0.07688276711118006
36,3.79659772910737,0.07238421130558889
37,3.971654654445943,0.07045363027508098
38,3.696545258324674,0.07300849915149474
39,3.601780482311449,0.07506952734210136
40,3.673092243975635,0.06824907438108925
41,3.558024608758306,0.07360881646679174
42,3.450323207066011,0.06680951433024626
43,3.3671647002953655,0.07137603059906333
44,3.3641249189782085,0.07069107934533989
45,3.2659374941674404,0.07130185130326011
46,3.036905631077286,0.06911432951022849
47,2.9373458741852754,0.07106157354769083
48,3.0177828692030295,0.07462047416789228
49,2.8209410988355845,0.07375858099075434
50,2.900187375500932,0.06968254282089088
51,2.7288121439474398,0.07159457632991684
52,2.5630077366419184,0.07147271591123217
53,2.472348010571456,0.07004641392729101
54,2.4037156764970273,0.07274102431348149
55,2.2974723786407623,0.07266165633318634
56,2.294496857806696,0.0747811167199294
57,2.1785900668747042,0.07119096088436067
58,2.0886266966175793,0.07181233927852812
59,2.0017837825726517,0.06970855071317263
60,1.9406900781090106,0.07522597071161552
61,1.8108696915179447,0.07229922949121778
62,1.7696344060232676,0.06692752929195028
63,1.6764905837147668,0.07359905384537509
64,1.4995109863979414,0.06803117119159544
65,1.5375911939423264,0.0655095564679485
66,1.4000551932869567,0.06861669474963458
67,1.319273124835807,0.07332935594457637
68,1.2901073141957913,0.06920059950115047
69,1.2065941900134163,0.07185163576369757
70,1.293023118900368,0.06920267318123317
71,1.0496624548678537,0.07383053332659148
72,0.9115512218002698,0.070269995840398
73,0.9511098653961717,0.07589904058418094
74,0.9549709515903491,0.07098055477724152
75,0.8970865055014368,0.07093834019433806
76,0.7834458356782126,0.0715398373549733
77,0.8190506085414316,0.06953146838567431
78,0.691186275759545,0.06682536743550324
79,0.7017488779588481,0.06944769253932856
80,0.6739069282526039,0.07284458649019401
81,0.6988679424341788,0.07286327675864436
82,0.5320630128070178,0.06800730908510227
83,0.45938374064948306,0.06994419056253805
84,0.4068542174873271,0.06599671997709379
85,0.42690428056238555,0.0699208456575263
86,0.35533467192275403,0.06853896045839841
87,0.381087651184249,0.06725366880901418
88,0.31149048829225673,0.06656509340401619
89,0.24579798428533317,0.06716021769227613
90,0.20585451883218778,0.07249500176265827
91,0.21631274031492148,0.06778696598401864
92,0.0909619666868693,0.07240944551141207
93,0.04640726253278287,0.06766869382774383
94,0.16309423536371906,0.06840367220124625
95,0.09949837185128474,0.0703592008818026
96,0.017042423124447814,0.06962692038744236
97,-0.0387965779200266,-0.07093780654981008
98,0.05493585823690631,0.06832767344335446
99,0.0,0
