temp (C),rho,rho unc,dollars,dollars unc
21,0.0,0.0,0.0,0.0
327,-0.012159025200323898,-0.00011742066971201902,-0.016212033600431865,-0.00015656089294935872
627,-0.010681810881409164,-5.630132151244367e-05,-0.014242414508545553,-7.506842868325822e-05
927,-0.011870045132999782,-3.92977226348418e-05,-0.015826726843999706,-5.23969635131224e-05
