temp (C),rho,rho unc,dollars,dollars unc
21,0.0,0.0,0.0,0.0
327,-3.498733565814602,-0.029271303766601656,-4.664978087752803,-0.039028405022135546
627,-6.085622219463404,-0.030781457580031497,-8.114162959284538,-0.041041943440042
927,-10.097942751674292,-0.030578797478510562,-13.463923668899056,-0.04077172997134742
