height (%),bank,bank unc
0,0.97782,0.00048
10,0.97993,0.00047999999999999996
20,0.98345,0.00062
30,0.99013,0.00049
40,0.99701,0.00053
50,1.00726,0.00054
60,1.01597,0.00057
70,1.0234299999999998,0.00047000000000000004
80,1.02857,0.0005099999999999999
90,1.03193,0.00053
100,1.03598,0.00055
