temp (C),rho,rho unc,dollars,dollars unc
1,-0.2863868497828087,-0.07180453951357867,-0.38184913304374496,-0.09573938601810489
5,-0.2566165985468346,-0.07109604462954008,-0.34215546472911285,-0.09479472617272013
10,-0.1837079273712104,-0.06902335712979968,-0.24494390316161385,-0.09203114283973292
15,-0.09272452972050592,-0.07375492771211714,-0.1236327062940079,-0.09833990361615619
20,0.0,0.0,0.0,0.0
25,0.05917518993652221,0.07364037510375536,0.07890025324869629,0.09818716680500715
30,0.07348100327686125,0.0637883042883791,0.097974671035815,0.08505107238450547
35,0.17731083649842325,0.06746137842750988,0.23641444866456435,0.08994850457001317
40,-0.007640732045687302,-0.06956450161690747,-0.01018764272758307,-0.0927526688225433
45,0.10589200283056768,0.06751069814442859,0.1411893371074236,0.09001426419257144
50,0.22391472824663258,0.07281525327232338,0.29855297099551015,0.09708700436309785
55,0.1592279506158783,0.06683082061805387,0.21230393415450444,0.08910776082407183
60,0.24767507256962845,0.06806255102743451,0.33023343009283795,0.09075006803657935
65,0.2676248142456146,0.07139862522974665,0.35683308566081945,0.09519816697299553
70,0.21345650676389882,0.07143821188350466,0.28460867568519843,0.09525094917800621
75,0.28946516399185074,0.06868996213152885,0.38595355198913434,0.09158661617537181
80,0.346393939963035,0.06670294716147655,0.46185858661738005,0.08893726288196874
85,0.40799175792284514,0.06795098748382838,0.5439890105637936,0.09060131664510451
90,0.4146207213511286,0.06539628810933942,0.5528276284681715,0.08719505081245256
95,0.32647643699319934,0.065455299125001,0.43530191599093243,0.087273732166668
99,0.38146687019897824,0.06667901236845841,0.5086224935986376,0.08890534982461122
