height (%),bank,bank unc
0,5.417155922475573,0.07643937268218041
5,5.528001311786431,0.08021389610664914
10,5.385225487143754,0.07786904599140554
15,5.313985484054015,0.07708244011071708
20,4.986700214863141,0.07682511401076662
25,4.764405691833091,0.07175765611938364
30,4.385260662934825,0.07283756257260417
35,4.058652746616651,0.06992002317879228
40,3.768135629920476,0.07516209751900478
45,3.0902238777322646,0.07324789111330038
50,2.7293966794056863,0.07229321226760915
55,2.304003182048529,0.0798213693812946
60,1.9408159739553856,0.07377084933334958
65,1.4649142072630823,0.07410824283538614
70,1.172345211609027,0.07388681978181716
75,1.0091418205810805,0.07516635052846203
80,0.6523702017365227,0.06945329957372134
85,0.4002085161228153,0.07683321964542468
90,0.2808597873824958,0.07184798567056203
95,0.1483769422021161,0.07175069058696491
100,0.0,0.0
