Bank Height (%),keff,keff unc,Lifetime (us),Lifetime unc (us),Beff,Beff unc,B_1,B_2,B_3,B_4,B_5,B_6,L_1,L_2,L_3,L_4,L_5,L_6,half life (s),E_1,E_2,E_3,E_4,E_5,E_6,E_1 unc,E_2 unc,E_3 unc,E_4 unc,E_5 unc,E_6 unc,B_3 unc,L_3 unc,B_4 unc,L_4 unc,B_5 unc,L_5 unc,B_6 unc,L_6 unc
35,0.97751,0.00023,52.2794,0.58737,0.00713,0.00041,,,0.00129,0.00282,0.00117,0.00036,,,0.12074,0.30292,0.85043,2.85525,0.24276,,,0.44344,0.559,0.52966,0.53614,,,0.00303,0.00273,0.00452,0.00754,0.00018,1.00E-05,0.00026,1.00E-05,0.00019,7.00E-05,8.00E-05,0.00038
40,0.98218,0.00026,54.8594,0.65682,0.00723,0.00042,,,0.00137,0.00263,0.0013,0.00029,,,0.12074,0.30289,0.85037,2.85498,0.24278,,,0.443,0.55348,0.52353,0.54232,,,0.00303,0.00273,0.00445,0.00776,0.00018,1.00E-05,0.00024,1.00E-05,0.00018,7.00E-05,8.00E-05,0.00035
45,0.98694,0.0002,53.99185,0.71512,0.00777,0.00042,,,0.00128,0.00323,0.00097,0.00049,,,0.12075,0.30291,0.85043,2.85557,0.24274,,,0.44107,0.55858,0.51314,0.53948,,,0.00305,0.00273,0.00446,0.00776,0.00018,1.00E-05,0.00028,1.00E-05,0.00014,7.00E-05,0.00011,0.00042
50,0.99215,0.00026,52.92414,0.55397,0.00747,0.00043,,,0.00103,0.00285,0.00155,0.00065,,,0.12075,0.30291,0.8504,2.8548,0.2428,,,0.44302,0.55607,0.513,0.54664,,,0.00306,0.00275,0.00443,0.00769,0.00016,1.00E-05,0.00026,1.00E-05,0.00022,7.00E-05,0.00013,0.00036
55,0.99704,0.0002,52.99912,0.6223,0.00639,0.00037,,,0.00137,0.00213,0.00088,0.00045,,,0.12074,0.3029,0.85038,2.85499,0.24278,,,0.44078,0.55764,0.52323,0.53855,,,0.00303,0.00274,0.00446,0.00763,0.00017,1.00E-05,0.00019,1.00E-05,0.00013,7.00E-05,9.00E-05,0.00037
65,1.00602,0.00026,53.51856,0.63211,0.00761,0.00042,,,0.00143,0.0028,0.00131,0.00048,,,0.12075,0.30293,0.85036,2.85458,0.24282,,,0.43773,0.5621,0.51445,0.5463,,,0.00297,0.00275,0.00437,0.00769,0.00018,1.00E-05,0.00025,1.00E-05,0.00018,7.00E-05,0.0001,0.00035
70,1.01069,0.00025,52.87766,0.58944,0.00686,0.0004,,,0.0015,0.00237,0.001,0.00039,,,0.12074,0.30294,0.85037,2.85505,0.24278,,,0.44311,0.55565,0.52154,0.53777,,,0.00302,0.0027,0.00452,0.00758,0.00021,1.00E-05,0.00024,1.00E-05,0.00014,7.00E-05,0.0001,0.00037
75,1.01372,0.00024,52.83355,0.55702,0.00698,0.00041,,,0.0013,0.00274,0.00108,0.00038,,,0.12074,0.3029,0.85054,2.85608,0.24269,,,0.43799,0.55684,0.52464,0.54851,,,0.00301,0.00275,0.00456,0.0077,0.00018,1.00E-05,0.00026,1.00E-05,0.00015,7.00E-05,7.00E-05,0.00041
80,1.01725,0.00024,50.92599,0.54483,0.00743,0.00042,,,0.00158,0.00269,0.00105,0.00053,,,0.12075,0.30291,0.85039,2.85498,0.24279,,,0.44495,0.55401,0.52204,0.53657,,,0.00301,0.00271,0.00452,0.00745,0.0002,1.00E-05,0.00026,1.00E-05,0.00015,7.00E-05,0.00011,0.00036
85,1.01993,0.00023,51.80957,0.59957,0.00863,0.00043,,,0.00128,0.00322,0.00146,0.0006,,,0.12074,0.3029,0.85042,2.85493,0.24279,,,0.4411,0.55631,0.5127,0.53144,,,0.00307,0.00269,0.0045,0.00743,0.00016,1.00E-05,0.00026,1.00E-05,0.00019,7.00E-05,0.00011,0.00036
90,1.0219,0.00022,51.5993,0.60229,0.00674,0.0004,,,0.00111,0.00237,0.00102,0.00067,,,0.12074,0.30291,0.85041,2.85469,0.24281,,,0.43879,0.55454,0.51422,0.54552,,,0.00304,0.00274,0.00445,0.00765,0.00014,1.00E-05,0.00023,1.00E-05,0.00015,7.00E-05,0.00016,0.00036
95,1.02401,0.00023,51.32211,0.52285,0.00782,0.00044,,,0.00149,0.00307,0.00109,0.00058,,,0.12074,0.3029,0.85029,2.85529,0.24276,,,0.43828,0.55719,0.51732,0.53631,,,0.00303,0.00273,0.00446,0.00756,0.00018,1.00E-05,0.00027,1.00E-05,0.00015,6.00E-05,0.00011,0.00037
100,1.02483,0.0002,51.42469,0.56592,0.00739,0.0004,,,0.00138,0.00267,0.00096,0.00063,,,0.12074,0.3029,0.85038,2.85557,0.24274,,,0.44046,0.5566,0.52095,0.54762,,,0.00303,0.00275,0.00446,0.00766,0.00018,1.00E-05,0.00025,1.00E-05,0.00013,7.00E-05,0.00011,0.00039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1.012205,0.000225,52.758015,0.47487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
