temp (C),rho,rho unc,dollars,dollars unc
1,-0.24178432876108344,-0.06444577560102722,-0.3223791050147779,-0.08592770080136963
10,-0.10012834781015605,-0.06506191292464902,-0.13350446374687475,-0.08674921723286537
15,0.042048193897373756,0.06496630946812781,0.05606425852983168,0.08662174595750374
20,0.0,0.0,0.0,0.0
25,-0.04863461622111712,-0.06719069510518319,-0.0648461549614895,-0.08958759347357759
30,0.1614522229441648,0.0641775581964934,0.21526963059221976,0.08557007759532453
35,0.17076823811867847,0.06208152709074789,0.22769098415823796,0.08277536945433052
40,0.2824203176044392,0.0648049961186528,0.3765604234725856,0.08640666149153707
45,0.2638295805119431,0.05932888470522873,0.3517727740159242,0.07910517960697164
50,0.25174175589553877,0.06134607221550111,0.33565567452738504,0.0817947629540015
55,0.34743148099498117,0.06060920343187431,0.4632419746599749,0.08081227124249908
60,0.3483595766537088,0.061967601238051055,0.4644794355382784,0.08262346831740142
65,0.4225493361661893,0.0626087490458661,0.5633991148882523,0.0834783320611548
70,0.3409343106482504,0.05928159027196747,0.4545790808643339,0.0790421203626233
75,0.46237913565227373,0.06258296276692016,0.6165055142030317,0.08344395035589355
80,0.455897461010885,0.06258715835307446,0.6078632813478467,0.08344954447076595
85,0.5890592263091785,0.06181352563677338,0.7854123017455714,0.08241803418236451
90,0.5243738750562921,0.06185489391379836,0.6991651667417229,0.08247319188506448
95,0.520674938903152,0.06464549968905968,0.6942332518708694,0.08619399958541292
99,0.5835181777686865,0.06250460141401687,0.7780242370249154,0.0833394685520225
5,-0.09825488797263579,-0.06435017714970404,-0.13100651729684773,-0.08580023619960539
