temp (C),keff,keff unc
1,1.03697,0.00058
10,1.03643,0.00052
15,1.03732,0.00045
20,1.03581,0.00051
25,1.03673,0.00058
30,1.03654,0.0005
35,1.03562,0.00048
40,1.0363,0.00052
45,1.03722,0.00054
50,1.04249,0.0005
55,1.04313,0.00053
60,1.04355,0.00055
65,1.04225,0.00046
70,1.04291,0.00047
75,1.04333,0.00053
80,1.04342,0.00053
85,1.04248,0.00046
90,1.04297,0.00049
95,1.04345,0.0005
99,1.04243,0.00048
