density (g/cc),rho,rho unc,dollars,dollars unc
0.1,-15.213531166616342,-0.07736171070171452,-20.284708222155125,-0.10314894760228603
0.2,-11.083114790458852,-0.0833759736549178,-14.77748638727847,-0.11116796487322375
0.3,-8.14699679260776,-0.08010920309846543,-10.862662390143681,-0.10681227079795391
0.4,-5.858617010972547,-0.07165801738681389,-7.811489347963397,-0.09554402318241853
0.5,-4.154922451215056,-0.07180206363814218,-5.539896601620076,-0.09573608485085623
0.6,-2.9637301291742673,-0.07375135873590465,-3.9516401722323566,-0.0983351449812062
0.7,-1.780944502223511,-0.07075101341696986,-2.374592669631348,-0.09433468455595982
0.8,-1.0015299086487766,-0.07087302872316509,-1.335373211531702,-0.09449737163088678
0.9,-0.5170851354231798,-0.06847755323464805,-0.6894468472309064,-0.09130340431286407
1.0,0.0,0.0,0.0,0.0
