void (at%),keff,keff unc
0,1.02653,0.00023
2,1.0261200000000001,0.00022999999999999998
4,1.02528,0.0002
6,1.02435,0.00026000000000000003
8,1.02374,0.00025
10,1.02308,0.00022999999999999998
12,1.02139,0.00022
14,1.02106,0.00021
16,1.01941,0.00025
18,1.01868,0.00025
20,1.01725,0.00021
