temp (C),rho,rho unc,dollars,dollars unc
20,0.0,0.0,0.0,0.0
25,0.0011402852873779127,0.006204986965652489,0.00152038038317055,0.00827331595420332
30,0.0021851846908241745,0.0032274775388271447,0.002913579587765566,0.004303303385102861
35,0.0005701259713910489,0.002028104133253381,0.0007601679618547319,0.002704138844337842
40,0.012606212630331246,0.0016755579561512882,0.016808283507108328,0.002234077274868384
45,0.011030124469023557,0.0012876329203158488,0.014706832625364742,0.0017168438937544652
50,0.007647657936813387,0.0010951807412654556,0.010196877249084517,0.0014602409883539406
55,0.006933414063145767,0.0009575545565145548,0.009244552084194356,0.0012767394086860733
60,0.005475613616333602,0.0008380634878813442,0.007300818155111473,0.0011174179838417922
65,0.009356755500376533,0.0007434030616063468,0.012475674000502045,0.0009912040821417956
70,0.008665995547751706,0.0006557356530593756,0.011554660730335606,0.0008743142040791675
75,0.007364284029876298,0.0005845119995969757,0.009819045373168397,0.0007793493327959675
80,0.006986162618093069,0.0005251758800641228,0.009314883490790758,0.0007002345067521639
85,0.005651145563940333,0.0005149474001866929,0.007534860751920442,0.0006865965335822571
90,0.008634526014631945,0.0004770039052795062,0.011512701352842594,0.0006360052070393418
95,0.007733446435919265,0.0004453151293902142,0.010311261914559024,0.0005937535058536191
99,0.007080324870543002,0.00042285714705952467,0.009440433160724002,0.0005638095294126998
