temp (C),rho,rho unc,dollars,dollars unc
20,0.0,0.0,0.0,0.0
25,0.005701426436889563,0.031024934828262452,0.00760190191585275,0.041366579771016605
30,0.021851846908241743,0.032274775388271455,0.029135795877655662,0.043033033851028614
35,0.008551889570865733,0.030421561998800715,0.011402519427820978,0.040562082665067625
40,0.2521242526066249,0.03351115912302576,0.3361656701421666,0.04468154549736768
45,0.2757531117255889,0.03219082300789622,0.3676708156341186,0.04292109734386163
50,0.2294297381044016,0.03285542223796366,0.3059063174725355,0.04380722965061821
55,0.24266949221010184,0.03351440947800942,0.32355932294680245,0.04468587930401256
60,0.21902454465334412,0.03352253951525377,0.29203272620445886,0.04469671935367169
65,0.42105399751694395,0.033453137772285604,0.561405330022592,0.044604183696380806
70,0.43329977738758524,0.032786782652968784,0.5777330365167803,0.043715710203958376
75,0.4050356216431964,0.03214815997783366,0.5400474955242619,0.04286421330377821
80,0.4191697570855841,0.03151055280384737,0.5588930094474455,0.042014070405129826
85,0.36732446165612154,0.033471581012135036,0.4897659488748287,0.04462877468284671
90,0.6044168210242361,0.03339027336956543,0.8058890946989815,0.044520364492753914
95,0.580008482693945,0.03339863470426607,0.7733446435919268,0.04453151293902143
99,0.5593456647728972,0.033405714617702455,0.7457942196971962,0.04454095282360328
