temp (C),rho,rho unc,dollars,dollars unc
1,-0.31494723796004376,-0.05373138050883804,-0.4199296506133917,-0.07164184067845072
5,-0.31193836834016264,-0.05372976115025386,-0.4159178244535502,-0.07163968153367181
10,-0.14073114510940696,-0.05224525113218249,-0.18764152681254262,-0.06966033484291
15,-0.18072714700907375,-0.05158457004164903,-0.24096952934543167,-0.0687794267221987
20,0.0,0.0,0.0,0.0
25,-0.05883926429817379,-0.05502215825104703,-0.07845235239756505,-0.07336287766806271
30,0.013951685480603791,0.052164365253523665,0.018602247307471724,0.06955248700469822
35,-0.019937745911632512,-0.05150155676608903,-0.026583661215510018,-0.06866874235478537
40,0.09559045710159633,0.05077269059811502,0.12745394280212846,0.06769692079748668
45,0.09360085637055941,0.049468043880952266,0.12480114182741256,0.06595739184126968
50,0.08365166193196122,0.05144814576830794,0.11153554924261497,0.06859752769107726
55,0.0906163064365059,0.05144455676666832,0.1208217419153412,0.06859274235555776
60,0.17312302041040362,0.05635382590752784,0.23083069388053817,0.07513843454337046
65,0.13039562537797994,0.05142406260073315,0.1738608338373066,0.06856541680097754
70,0.21482141641250985,0.050054419307821174,0.2864285552166798,0.06673922574376157
75,0.17709580013148382,0.05561781905811979,0.2361277335086451,0.07415709207749306
80,0.21085164400470854,0.051382636938605585,0.2811355253396114,0.06851018258480744
85,0.21779853810457817,0.05137906165057153,0.2903980508061042,0.06850541553409537
90,0.23466553379800115,0.05273796572210843,0.3128873783973349,0.0703172876294779
95,0.4010445176667509,0.05476928360936847,0.5347260235556679,0.07302571147915796
99,0.29613208692458703,0.05201713172957661,0.3948427825661161,0.06935617563943548
