height (%),bank,bank unc
0,0.95879,0.00023
5,0.95973,0.00026000000000000003
10,0.96006,0.00025
15,0.9635299999999999,0.00022999999999999998
20,0.9656,0.00024
25,0.9689,0.00021
30,0.97271,0.00026000000000000003
35,0.97751,0.00022999999999999998
40,0.98218,0.00026000000000000003
45,0.9869399999999999,0.0002
50,0.99215,0.00026000000000000003
55,0.9970399999999999,0.0002
60,1.00176,0.00024
65,1.0060200000000001,0.00026000000000000003
70,1.01069,0.00025
75,1.0137200000000002,0.00023999999999999998
80,1.01725,0.00024
85,1.01993,0.00022999999999999998
90,1.0219,0.00022
95,1.02401,0.00022999999999999998
100,1.02483,0.0002
