height (%),bank,bank unc
0,6.720966624091193,0.031088890507190804
5,6.618812645141996,0.03342385823506044
10,6.582997518286761,0.0326100015609587
15,6.20788128568441,0.030926030322254137
20,5.9853926426870405,0.03162669999061886
25,5.632666436805931,0.02925183852546565
30,5.22840469852602,0.03295114911280142
35,4.723584587818044,0.030459541749682663
40,4.237172246696939,0.032618193869196094
45,3.746122925163769,0.027984054143530696
50,3.214051867811396,0.03227802429967824
55,2.719719622544113,0.02769138663761061
60,2.2471500771913804,0.030438442563817746
65,1.824443215241082,0.031821640492708005
70,1.3651476023505016,0.030912503464858024
75,1.0694099337387994,0.0300732880513395
80,0.7270925202954001,0.0299679726729228
85,0.4687851909239615,0.02916021031668337
90,0.2797740251257983,0.028390149781091514
95,0.07813719640787235,0.02904370174625001
100,0.0,0.0
