height (%),bank,bank unc
0,6.722897440754523,0.03606263923235018
5,6.642707573689171,0.035265601868236705
10,6.499972392174573,0.031593352049571616
15,6.280150234058962,0.03221360758552598
20,6.038775367867482,0.03284018805216317
25,5.671904659070644,0.03343587332314132
30,5.22327963817896,0.03551222262361754
35,4.7889871317694555,0.031725059911419114
40,4.2342108032590895,0.031545100507184676
45,3.7293958990599516,0.03207169836752642
50,3.2538867958495246,0.031915623446797034
55,2.7236284199505914,0.03174244705707241
60,2.2773806681752187,0.030918139543713363
65,1.7986582920744631,0.0307666095778384
70,1.4015935524361538,0.02998408769606397
75,1.1095145000165991,0.0319068662578459
80,0.7458712391507926,0.031787987579198144
85,0.4806453787088259,0.029701977150837805
90,0.2578540967258181,0.031629141304121144
95,0.09689215742425254,0.02958520180969231
100,0.0,0.0
