x,D x,D rho,rho unc,D dollars,dollars unc,coef rho,coef rho avg,coef rho unc,coef dollars,coef dollars avg,coef dollars unc
200,-100,0.0255410142814853,0.0715188464201749,0.0340546857086472,0.0953584618935666,-0.000255410142814853,,-0.000715188464201749,-0.000340546857086472,,-0.000953584618935666
250,-50,0.009461199057782,0.0656855288756262,0.0126149320770427,0.0875807051675017,-0.00018922398115564,,-0.001313710577512524,-0.000252298641540854,,-0.0017516141033500341
300,0,-0.0,0.0,-0.0,0.0,0,0,0,0,0,0
350,50,0.0160829433946449,0.0628966844632155,0.0214439245261932,0.083862245950954,0.00032165886789289796,0.00016082943394644933,0.00125793368926431,0.000428878490523864,0.0002144392452619315,0.00167724491901908
400,100,0.0775275396954741,0.0692511756780674,0.1033700529272988,0.0923349009040899,0.000775275396954741,0.00036564475494921386,0.0006925117567806741,0.0010337005292729879,0.0004875263399322853,0.000923349009040899
450,150,0.0680795787396462,0.0685246503918218,0.0907727716528616,0.0913662005224291,0.00045386385826430797,0.000387699530777987,0.00045683100261214535,0.0006051518110190774,0.000516932707703983,0.0006091080034828606
500,200,0.0198663925088396,0.0615421345782955,0.0264885233451194,0.0820561794377274,9.9331962544198e-05,0.00033002601713122886,0.0003077106728914775,0.000132442616725597,0.0004400346895083051,0.00041028089718863703
650,350,0.0633549094340055,0.0635522029214424,0.084473212578674,0.0847362705619233,0.00018101402695430143,0.0003051906854350744,0.00018157772263269255,0.00024135203593906858,0.00040692091391343247,0.00024210363017692371
700,400,0.0671346816199203,0.0670747410418073,0.0895129088265604,0.0894329880557431,0.00016783670404980076,0.00028556868809432115,0.00016768685260451824,0.00022378227206640102,0.00038075825079242803,0.00022358247013935773
750,450,0.0283780768448188,0.0656727561755686,0.0378374357930917,0.0875636749007582,6.306239298848622e-05,0.0002577554012060915,0.00014593945816793023,8.408319065131489e-05,0.00034367386827478856,0.00019458594422390712
800,500,0.0699693178707173,0.0663558398206158,0.0932924238276231,0.0884744530941544,0.0001399386357414346,0.0002446646494877967,0.0001327116796412316,0.00018658484765524618,0.0003262195326503956,0.0001769489061883088
850,550,-0.1241119174588415,-0.0679307398591592,-0.1654825566117888,-0.0905743198122123,-0.00022565803174334818,0.0001976323813646819,-0.0001235104361075622,-0.0003008773756577978,0.0002635098418195756,-0.00016468058147674962
900,600,0.0737485757144402,0.0628594091045641,0.0983314342859202,0.0838125454727521,0.00012291429285740034,0.00019083982786401965,0.00010476568184094016,0.000163885723809867,0.0002544531038186928,0.00013968757578792018
950,650,-0.0198745105497939,-0.0642998643147367,-0.0264993473997253,-0.085733152419649,-3.0576170076606e-05,0.00017238849470230106,-9.8922868176518e-05,-4.076822676880816e-05,0.00022985132626973472,-0.00013189715756869078
1000,700,0.017028833270546,0.0628960728568439,0.0227051110273947,0.0838614304757918,2.432690467220857e-05,0.00016099914162306285,8.985153265263414e-05,3.2435872896278144e-05,0.00021466552216408384,0.00011980204353684542
1050,750,0.0141911084449484,0.0642773501373205,0.0189214779265978,0.0857031335164274,1.8921477926597868e-05,0.0001508507370733157,8.570313351642733e-05,2.5228637235463733e-05,0.0002011343160977543,0.00011427084468856986
1100,800,0.006623032595172,0.0678395026538299,0.0088307101268961,0.0904526702051066,8.278790743965001e-06,0.00014134594065135916,8.479937831728738e-05,1.1038387658620125e-05,0.00018846125420181204,0.00011306583775638324
1150,850,-0.0302882099807348,-0.0643067483663784,-0.0403842799743131,-0.0857423311551713,-3.563318821262917e-05,0.00013028474509735945,-7.565499807809224e-05,-4.7510917616838936e-05,0.00017371299346314592,-0.00010087333077078977
1200,900,-0.0624901068515226,-0.0650279943628538,-0.0833201424686969,-0.0867039924838051,-6.943345205724733e-05,0.00011853661585297084,-7.225332706983755e-05,-9.257793607632988e-05,0.00015804882113729443,-9.633776942645011e-05
1250,950,0.0009462027340708,0.0678434618497618,0.0012616036454278,0.0904579491330157,9.96002877969263e-07,0.00011200658179880439,7.141417036817031e-05,1.328003837292421e-06,0.00014934210906507257,9.521889382422706e-05
1300,1000,0.0255410142814853,0.066386153860643,0.0340546857086472,0.0885148718141907,2.55410142814853e-05,0.00010745576245578726,6.6386153860643e-05,3.4054685708647195e-05,0.00014327434994104973,8.851487181419069e-05
1350,1050,0.0794169114981828,0.0677887544365707,0.1058892153309105,0.0903850059154276,7.563515380779314e-05,0.0001058647320233879,6.456071851101972e-05,0.00010084687174372429,0.0001411529760311838,8.608095801469296e-05
1400,1100,-0.03786320986066,-0.0671471812632556,-0.0504842798142133,-0.0895295750176741,-3.4421099873327275e-05,9.91844543140204e-05,-6.104289205750508e-05,-4.5894799831103e-05,0.00013224593908536038,-8.139052274334009e-05
