height (%),bank,bank unc
0,6.468837604357988,0.0764909577091926
5,6.310575675451137,0.07005107937196806
10,6.273789150461704,0.07707560517231613
15,5.8987586778213625,0.07247798436265698
20,5.790419521308418,0.07451581668525072
25,5.377386838035601,0.07420199996817466
30,4.988732979689751,0.0760699576913397
35,4.593575208213903,0.07723034026525534
40,4.177557184806701,0.07616905818085025
45,3.640428963408006,0.07150788902018629
50,3.145549658560018,0.07609502689466756
55,2.7502850581601246,0.0729333169829488
60,2.1491956957000116,0.0711056422984685
65,1.7537685827024794,0.07359425837327946
70,1.4381008775032584,0.06728608024436845
75,1.1459315215965036,0.07105944812605143
80,0.6963591306829197,0.07073331259298599
85,0.54258034863801,0.0686151694672772
90,0.3296339349838382,0.07183632269920161
95,0.07741764542749834,0.06763745157039372
100,0.0,0.0
