height (%),bank,bank unc
0,0.95975,0.00054
5,0.96121,0.00045
10,0.96155,0.00055
15,0.9650299999999999,0.00049
20,0.96604,0.0005200000000000001
25,0.96991,0.0005200000000000001
30,0.97358,0.00055
35,0.97734,0.00057
40,0.98133,0.00056
45,0.9865299999999999,0.0005
50,0.99137,0.00057
55,0.9952700000000001,0.00053
60,1.00126,0.0005099999999999999
65,1.00524,0.00055
70,1.00844,0.00046
75,1.01142,0.0005200000000000001
80,1.01604,0.0005200000000000001
85,1.01763,0.00049
90,1.01984,0.00054
95,1.02247,0.00047999999999999996
100,1.02328,0.00052
