temp (K),keff,keff unc
294.0,1.03493,0.00049
600.0,0.99654,0.00054
900.0,0.96952,0.00048
1200.0,0.9304600000000001,0.00043
0.1,1.04428,0.00045
250.0,1.03452,0.00053
77.0,1.03852,0.00051
