temp (C),keff,keff unc
1,1.0327600000000001,0.0005
10,1.03376,0.00053
15,1.03538,0.0005
20,1.03482,0.00056
25,1.03585,0.00047000000000000004
30,1.03558,0.0005200000000000001
35,1.03712,0.0005200000000000001
40,1.0366,0.0005099999999999999
45,1.0376299999999998,0.00053
50,1.0375,0.0005099999999999999
55,1.03804,0.00054
60,1.0386799999999998,0.0005099999999999999
65,1.03864,0.00054
70,1.04095,0.00055
75,1.0401799999999999,0.00049
80,1.04167,0.00055
85,1.0413700000000001,0.00045999999999999996
90,1.04134,0.00046
95,1.04282,0.00043
99,1.04222,0.00051
