Config,keff,keff unc,rho,rho unc,dollars,dollars unc
allrodsin,0.96993,0.00022,-3.1002237274854934,-0.0009944668761623912,-4.133631636647324,-0.0013259558348831884
safeout,0.99179,0.00025,-0.8277962068583118,-0.0002950928681021256,-1.1037282758110825,-0.0003934571574695008
shimout,0.99512,0.00023,-0.4903931184178788,-0.00016029196253821638,-0.6538574912238384,-0.00021372261671762186
regout,0.98456,0.00022999999999999998,-1.5682132119931758,-0.0005180906500482321,-2.090950949324234,-0.0006907875333976428
allrodsout,1.0255,0.00021,2.486591906387136,0.0007201171327166943,3.3154558751828476,0.0009601561769555924
