Config,keff,keff unc,rho,rho unc,dollars,dollars unc
allrodsin,0.96034,0.0005099999999999999,-4.1297873669742,-0.003101614704257777,-5.5063831559656,-0.004135486272343703
safeout,0.98425,0.00059,-1.600203200406405,-0.00135655285796786,-2.13360426720854,-0.001808737143957147
shimout,0.98791,0.00053,-1.2237956898907842,-0.0009285010628247119,-1.6317275865210457,-0.001238001417099616
regout,0.9759399999999999,0.0005,-2.4653154907063928,-0.0017862176990826601,-3.287087320941857,-0.00238162359877688
allrodsout,1.02336,0.00048,2.2826766729205796,0.0015141614959460492,3.0435688972274395,0.0020188819945947322
