height (%),safe,safe unc,shim,shim unc,reg,reg unc
0,1.9447589424031086,0.07066632844615123,2.172185285479603,0.06832709290962327,1.0406787856518427,0.06937759779121297
10,1.8624060973919627,0.06750275315323909,2.1215553599217296,0.07079584229687048,1.0359192957707823,0.07000420013167528
20,1.7444459890827977,0.07180997923372484,1.9825905209986758,0.07330717286800052,0.9883499237324773,0.07321863972423531
30,1.4546194831385477,0.06905011510131322,1.8846762119409202,0.07062236690994159,1.0292567899912597,0.06999936880036636
40,1.3117822052080719,0.0702045315170419,1.5132168845566665,0.07565223167986877,0.7502508878876004,0.06916918185122917
50,1.0026158639522675,0.07389818290707026,1.2018231012706784,0.07338073457600829,0.5811602010871423,0.07094983806952264
60,0.7616076404965172,0.06980555455796625,0.806113798547514,0.07510010374243727,0.5802172115438213,0.06904745041102155
70,0.48977540693182564,0.07152931382200997,0.5472241115603043,0.06541872420240886,0.2737757056688067,0.07008561556343122
80,0.32065030529380334,0.07011965801071968,0.3469199158413018,0.06950631397352804,0.269090741208185,0.06759659319566017
90,0.08206330285221808,0.0686920332807228,0.047542419953993297,0.06992154635748378,0.14463693818709236,0.0669070389544893
100,0.0,0.0,0.0,0.0,0.0,0.0
