height (%),safe,safe unc,shim,shim unc,reg,reg unc
0,1.8266201438005552,0.07029243260390156,2.1919717803188004,0.07608118247785997,1.0169476675601135,0.07588250280388435
10,1.6335804051297662,0.07284895043219176,2.027381752582441,0.0691268195769846,1.0706462813121664,0.07041065080317958
20,1.5585469168941535,0.06879619013380021,1.9656758164356796,0.07309678660307617,0.9652569072644082,0.07235270056259373
30,1.4422717730742203,0.07134791930036903,1.6899299600311728,0.06761387983170038,0.8173113053691459,0.07572771520157302
40,1.2203336219088483,0.07254170739202563,1.5329035648396594,0.07141408313956168,0.7755386964040489,0.06889045203098189
50,0.8630102676574288,0.07159846197295715,1.1684298444705274,0.07458342209262137,0.5198481562164097,0.07202383086832428
60,0.7260403086014786,0.07494901249816278,0.6969468319241304,0.07147695353135113,0.42719845251633176,0.07402010867149343
70,0.4503444989463152,0.07265480670670488,0.4223777325838364,0.06929010730097478,0.25683268757569805,0.07115591262687043
80,0.3376104709956818,0.07257107737303238,0.3058604694395793,0.07052342871156468,0.03824775621390374,0.06586642814611735
90,0.09854869470927413,0.07104080406718932,0.06312484984446345,0.07236761476117932,0.026770287450876524,0.06836485796190904
100,0.0,0.0,0.0,0.0,0.0,0.0
