temp (C),rho,rho unc,dollars,dollars unc
20,0.0,0.0,0.0,0.0
25,0.01727193017073781,0.005846995478561367,0.02302924022765042,0.007795993971415158
30,0.008825594639429031,0.0026975337461015076,0.011767459519238707,0.0035967116614686765
35,0.005630885430120408,0.0018478272318427412,0.007507847240160543,0.002463769642456988
40,0.015858191982295156,0.0014201441330313437,0.02114425597639354,0.0018935255107084587
45,0.011440500885858147,0.0010193169692483584,0.015254001181144198,0.001359089292331145
50,0.012018452634023898,0.0009213000111698377,0.016024603512031867,0.001228400014893117
55,0.008657332176040247,0.0007901521435671553,0.011543109568053662,0.0010535361914228737
60,0.008164992251684046,0.0006912157767933842,0.01088665633557873,0.0009216210357245122
65,0.011756178286021216,0.0005806511386002996,0.01567490438136162,0.0007742015181337326
70,0.01029864997814912,0.0005821340272092343,0.013731533304198826,0.0007761787029456457
75,0.008062765937210024,0.0005021000174903065,0.010750354582946698,0.0006694666899870757
80,0.008347214581087626,0.00048518187577149824,0.011129619441450168,0.000646909167695331
85,0.006329845038282757,0.0004249934328518555,0.008439793384377007,0.0005666579104691407
90,0.00907261000321152,0.00038320584779423235,0.01209681333761536,0.0005109411303923098
95,0.008592758579862178,0.0003576243918776204,0.01145701143981624,0.000476832522503494
99,0.00832376854481778,0.0003394711229258472,0.01109835805975704,0.00045262816390112965
