temp (C),rho,rho unc,dollars,dollars unc
20,0.0,0.0,0.0,0.0
25,0.08635965085368906,0.02923497739280684,0.1151462011382521,0.03897996985707579
30,0.08825594639429031,0.026975337461015075,0.11767459519238709,0.03596711661468677
35,0.08446328145180611,0.027717408477641113,0.11261770860240815,0.03695654463685482
40,0.3171638396459031,0.028402882660626873,0.42288511952787083,0.03787051021416917
45,0.28601252214645373,0.025482924231208962,0.38135002952860503,0.03397723230827862
50,0.36055357902071694,0.02763900033509513,0.48073810536095596,0.03685200044679351
55,0.3030066261614086,0.027655325024850432,0.40400883488187816,0.03687376669980058
60,0.32659969006736184,0.027648631071735368,0.43546625342314915,0.03686484142898049
65,0.5290280228709547,0.02612930123701348,0.705370697161273,0.03483906831601797
70,0.514932498907456,0.029106701360461718,0.6865766652099413,0.038808935147282286
75,0.44345212654655125,0.027615500961966865,0.5912695020620684,0.036820667949289156
80,0.5008328748652576,0.029110912546289898,0.6677771664870101,0.03881455006171986
85,0.41143992748837915,0.027624573135370607,0.5485865699845055,0.036832764180494144
90,0.6350827002248064,0.026824409345596264,0.8467769336330753,0.03576587912746169
95,0.6444568934896634,0.026821829390821533,0.859275857986218,0.03576243918776205
99,0.6575777150406046,0.02681821871114193,0.8767702867208061,0.035757624948189244
