Bank Height (%),keff,keff unc,Lifetime (us),Lifetime unc (us),Beff,Beff unc,B_1,B_2,B_3,B_4,B_5,B_6,L_1,L_2,L_3,L_4,L_5,L_6,half life (s),E_1,E_2,E_3,E_4,E_5,E_6,E_1 unc,E_2 unc,E_3 unc,E_4 unc,E_5 unc,E_6 unc,B_3 unc,L_3 unc,B_4 unc,L_4 unc,B_5 unc,L_5 unc,B_6 unc,L_6 unc
55,0.9993,0.00062,50.82348,1.07528,0.00574,0.0007700000000000001,0.0,0.0,0.00105,0.00239,0.00123,0.0,0.0,0.0,0.12073,0.30287,0.85075,2.85481,0.2428,0.0,0.0,0.43381,0.56472,0.53577,0.53347,0.0,0.0,0.006520000000000001,0.00618,0.01055,0.01617,0.00035,2e-05,0.00046,3e-05,0.00041,0.00018,0.0,0.00091
57,1.00048,0.00047000000000000004,50.3984,1.04346,0.00644,0.00079,0.0,0.0,0.00084,0.00267,0.00082,0.0005099999999999999,0.0,0.0,0.12074000000000001,0.30291,0.8503700000000001,2.85489,0.24279,0.0,0.0,0.44392,0.5517,0.516,0.54903,0.0,0.0,0.0066,0.00596,0.00987,0.01819,0.00028,2e-05,0.0005099999999999999,2.9999999999999997e-05,0.0003,0.00015,0.0002,0.0007700000000000001
59,1.00176,0.00047,53.6722,1.31557,0.00813,0.00098,0.0,0.0,0.00141,0.00306,0.00078,0.00081,0.0,0.0,0.12074,0.30287,0.8502,2.85613,0.24269,0.0,0.0,0.43298,0.55109,0.50981,0.5421600000000001,0.0,0.0,0.00672,0.00607,0.0097,0.01857,0.00045,1e-05,0.00057,3e-05,0.00034,0.00013000000000000002,0.0003,0.00103
72,1.01137,0.00049,51.768359999999994,1.07636,0.00635,0.0009599999999999999,0.0,0.0,0.00124,0.0025800000000000003,0.0012900000000000001,0.00013000000000000002,0.0,0.0,0.12072999999999999,0.30293000000000003,0.8504700000000001,2.8555200000000003,0.24274,0.0,0.0,0.43625,0.56085,0.52352,0.54925,0.0,0.0,0.00663,0.00624,0.01009,0.01674,0.00039,2e-05,0.00055,2.9999999999999997e-05,0.00057,0.00016,8e-05,0.00086
74,1.01229,0.0005099999999999999,51.97386,1.18761,0.0083,0.00095,0.0,0.0,0.0013800000000000002,0.00397,0.00161,0.00055,0.0,0.0,0.12073,0.30288000000000004,0.85014,2.85887,0.24246,0.0,0.0,0.43814,0.54703,0.5079199999999999,0.55579,0.0,0.0,0.006670000000000001,0.0059,0.00959,0.01715,0.00039,2e-05,0.00067,3e-05,0.00043,0.00012,0.00023,0.0012
76,1.01314,0.0005099999999999999,52.13791,1.24403,0.00656,0.00085,0.0,0.0,0.0013800000000000002,0.00195,0.0013,0.00047000000000000004,0.0,0.0,0.12072999999999999,0.3029,0.8503700000000001,2.85601,0.2427,0.0,0.0,0.4285,0.56839,0.53087,0.52772,0.0,0.0,0.006370000000000001,0.00604,0.00997,0.01573,0.00041,2e-05,0.00042,2.9999999999999997e-05,0.00035,0.00015,0.00028,0.00086
0,0.96794,0.00031,52.7078,0.9341,0.007120000000000001,0.00062,,,0.00096,0.00305,0.00103,0.0005200000000000001,,,0.12074,0.30288000000000004,0.8504299999999999,2.85589,0.24271,,,0.44525,0.55937,0.5158,0.54138,,,0.00469,0.004370000000000001,0.006809999999999999,0.01138,0.00022,1e-05,0.00042,2e-05,0.00022,0.00011,0.00018,0.0006900000000000001
25,0.97603,0.00036,54.724819999999994,0.9774299999999999,0.00783,0.00067,,,0.00197,0.00293,0.0011099999999999999,0.00049,,,0.12075,0.30291,0.8503799999999999,2.85545,0.24275,,,0.43368999999999996,0.55771,0.52188,0.55577,,,0.00475,0.00434,0.0069099999999999995,0.01252,0.00035,1e-05,0.00041,2e-05,0.00025,0.00011,0.00018999999999999998,0.00074
100,1.02279,0.00038,51.13366,0.75332,0.0068,0.00059,,,0.00159,0.00262,0.00103,0.00027,,,0.12074,0.30292,0.85034,2.85557,0.24274,,,0.43798,0.54874,0.52166,0.55751,,,0.00474,0.00428,0.0069,0.01212,0.00031,1e-05,0.00035,2e-05,0.00023,0.0001,9e-05,0.00067
